did.num,did,Y,X
3,b0402fc0,38.8884,-77.0936
3,dc709850,38.8884,-77.0936
7,c3b7b500,38.888344,-77.093964
5.1,1e6e35f0,38.888236,-77.093828
4,4eeaa010,38.888554,-77.093594
5,b9198800,38.888236,-77.093828
5,b918ebc0,38.888236,-77.093828
4,4eea03d0,38.888554,-77.093594
5,1e6d72a0,38.888236,-77.093828
1,87f84c00,38.8884834,-77.0934064
3,b040f310,38.8884,-77.0936
6,212d3540,38.888422,-77.093833
6,212cc010,38.888422,-77.093833
1,f4037890,38.8884834,-77.0934064
1,f402dc50,38.8884834,-77.0934064
2,e2674300,38.888651,-77.093438
2,e2667fb0,38.888651,-77.093438
3,dc713490,38.8884,-77.0936
7.1,c3b718c0,38.888344,-77.093964
1.1,87f761a0,38.8884834,-77.0934064
